# READMEとスクリーンショット用のデモ画像、および紹介サイトの写真。
# すべて Wikimedia Commons の CC0 / パブリックドメイン。
# photo/ に置いた紹介サイトの写真と、元になった Commons のファイル名の対応:
#   forest-canopy.jpg  Dark forest canopy
#   forest-mist.jpg    Mist above forest
#   forest-rays.jpg    Sunrise breaking into the forest
#   forest-drone.jpg   Drone Forest
#   forest-slope.jpg   Misty coniferous forest on a slope
#   forest-gate.jpg    Forest gateway
# いずれも長辺 1280〜2000px に縮め、品質 74〜80 で保存し直してある（幕を重ねて敷くため）。
ライセンス	Commonsのファイル名
CC0	File:A black forest walk (Unsplash).jpg
CC0	File:Aerial view of a forest (Unsplash).jpg
CC0	File:Black and white conifer forest (Unsplash).jpg
CC0	File:Drone Forest (Unsplash).jpg
CC0	File:Forest fence (Unsplash).jpg
CC0	File:Forest gateway (Unsplash).jpg
CC0	File:Frozen Forest (Unsplash).jpg
CC0	File:Gazing up in the forest (Unsplash).jpg
CC0	File:Gray forest (Unsplash).jpg
CC0	File:Green coniferous forest (Unsplash).jpg
CC0	File:Lush green pine forest (Unsplash).jpg
CC0	File:Mist above forest (Unsplash).jpg
CC0	File:Misty coniferous forest on a slope (Unsplash).jpg
CC0	File:Orange forest edge (Unsplash).jpg
CC0	File:Overgrown forest path (Unsplash).jpg
CC0	File:Spotlights in forest (Unsplash).jpg
CC0	File:Sunrise breaking into the forest (Unsplash).jpg
CC0	File:Swedish forest (Unsplash).jpg
CC0	File:Thick pine forest (Unsplash).jpg
CC0	File:At the edge of a conifer forest (Unsplash).jpg
CC0	File:Autumn forest canopy (Unsplash).jpg
CC0	File:Dark forest canopy (Unsplash).jpg
CC0	File:Empty road by a forest (Unsplash).jpg
CC0	File:Fog descending on a pine forest (Unsplash).jpg
CC0	File:Forest boardwalk (Unsplash).jpg
CC0	File:Forest snow in sun (Unsplash).jpg
